과목코드-분반,과목명,2016_1_1학년,2016_1_2학년,2016_1_3학년,2016_1_4학년,2016_2_1학년,2016_2_2학년,2016_2_3학년,2016_2_4학년,2017_1_1학년,2017_1_2학년,2017_1_3학년,2017_1_4학년,2017_2_1학년,2017_2_2학년,2017_2_3학년,2017_2_4학년,2018_1_1학년,2018_1_2학년,2018_1_3학년,2018_1_4학년,2018_2_1학년,2018_2_2학년,2018_2_3학년,2018_2_4학년,2019_1_1학년,2019_1_2학년,2019_1_3학년,2019_1_4학년,2019_2_1학년,2019_2_2학년,2019_2_3학년,2019_2_4학년,2020_1_1학년,2020_1_2학년,2020_1_3학년,2020_1_4학년,2020_2_1학년,2020_2_2학년,2020_2_3학년,2020_2_4학년,2021_1_1학년,2021_1_2학년,2021_1_3학년,2021_1_4학년
COR1012-04,인문사회글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,신청없음,1 : 0.25,신청없음,1 : 1.40,1 : 3.00,1 : 2.50,1 : 4.00,,,,,0.20 : 1,신청없음,0.04 : 1,신청없음,0.16 : 1,7.00 : 1,2.50 : 1,1.00 : 1
COR1012-05,인문사회글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 0.50,신청없음,신청없음,1 : 0.64,1 : 0.45,1 : 0.38,1 : 0.33,,,,,0.16 : 1,0.09 : 1,0.04 : 1,0.09 : 1,0.07 : 1,신청없음,신청없음,0.20 : 1
COR1012-06,인문사회글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 1.50,신청없음,1 : 0.67,1 : 0.32,신청없음,1 : 0.05,1 : 0.05,0.03 : 1,신청없음,신청없음,0.20 : 1,0.20 : 1,신청없음,0.04 : 1,신청없음,신청없음,1.00 : 1,신청없음,0.33 : 1
COR1012-08,인문사회글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 1.50,1 : 0.50,1 : 0.50,1 : 0.24,1 : 0.05,1 : 0.05,1 : 0.05,0.04 : 1,1.00 : 1,신청없음,0.33 : 1,2.32 : 1,7.00 : 1,3.00 : 1,신청없음,0.04 : 1,2.50 : 1,1.00 : 1,3.00 : 1
COR1012-09,인문사회글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 0.50,신청없음,1 : 0.25,1 : 1.24,1 : 4.50,1 : 1.00,1 : 3.00,신청없음,0.50 : 1,신청없음,0.25 : 1,3.00 : 1,5.00 : 1,1.00 : 1,3.00 : 1,신청없음,신청없음,신청없음,0.20 : 1
COR1012-10,인문사회글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.03,신청없음,신청없음,신청없음,1 : 0.24,1 : 0.10,1 : 0.05,1 : 0.05,,,,,신청없음,0.04 : 1,신청없음,신청없음,,,,
COR1012-11,인문사회글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 0.50,신청없음,1 : 0.25,1 : 0.04,신청없음,1 : 0.04,신청없음,,,,,0.04 : 1,신청없음,신청없음,0.03 : 1,,,,
COR1012-13,인문사회글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.08,1 : 2.00,1 : 0.50,1 : 0.50,1 : 1.40,1 : 2.00,신청없음,1 : 0.33,,,,,2.88 : 1,6.00 : 1,2.00 : 1,2.00 : 1,,,,
COR1012-14,인문사회글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.07,1 : 2.00,신청없음,신청없음,1 : 3.24,1 : 5.50,신청없음,1 : 0.33,0.03 : 1,신청없음,신청없음,0.20 : 1,1.56 : 1,0.50 : 1,1.00 : 1,신청없음,신청없음,신청없음,신청없음,0.20 : 1
COR1012-15,인문사회글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.04,1 : 1.50,1 : 0.50,1 : 0.50,1 : 0.76,1 : 0.88,1 : 1.00,신청없음,신청없음,0.50 : 1,신청없음,신청없음,0.40 : 1,0.24 : 1,신청없음,신청없음,,,,
COR1012-16,인문사회글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 0.50,신청없음,1 : 0.25,1 : 0.56,1 : 0.31,신청없음,신청없음,0.03 : 1,0.50 : 1,신청없음,신청없음,0.04 : 1,0.04 : 1,신청없음,신청없음,,,,
COR1012-17,인문사회글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,신청없음,신청없음,1 : 0.20,,,,,0.04 : 1,0.50 : 1,신청없음,1.25 : 1,,,,,0.03 : 1,신청없음,신청없음,0.20 : 1
