과목번호-분반,과목명,교수,학점,수업시간/강의실,학년,강의평,담은 인원,비고
ZKAP002-18,학문을위한한국어 II,옥혜정,3,"화,금 13:30~14:45 [AR611]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP003-01,학문을위한한국어 III,이선명,3,"월,금 16:30~17:45 [AR911]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP003-02,학문을위한한국어 III,이선명,3,"수,금 13:30~14:45 [AR911]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP003-03,학문을위한한국어 III,이선명,3,"수,금 15:00~16:15 [AR911]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP003-04,학문을위한한국어 III,이연정,3,"수,금 13:30~14:45 [AR904]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP004-01,학문을위한한국어 IV,이연정,3,"화,금 15:00~16:15 [AR904]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP004-02,학문을위한한국어 IV,이연정,3,"수,금 15:00~16:15 [AR904]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP004-03,학문을위한한국어 IV,조재희,3,"화,목 16:30~17:45 [AR807]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP005-01,학문을위한한국어 V,조재희,3,"월,금 16:30~17:45 [AR813]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP006-01,학문을위한한국어 VI,조재희,3,"수,금 13:30~14:45 [AR807]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
EDU2001-01,교육학개론,김재웅,3,"월,수 10:30~11:45 [J128]",1-4학년,,16,
EDU2001-02,교육학개론,이예경,3,"수,금 13:30~14:45 [J128]",1-4학년,,50,영어강의
EDU3045-01,특수교육학개론,한홍석,2,월 13:30~15:20 [J128],3-4학년,,29,
EDU2002-01,교육철학및교육사,한석훈,2,월 16:30~18:20 [J128],1-4학년,,36,
EDU2003-01,교육심리,양미경,2,"화,목 13:30~14:20 [J128]",1-4학년,,22,
EDU2004-01,교육방법및교육공학,양미경,2,"화,목 15:00~15:50 [J128]",2-4학년,,23,
EDU3001-01,교육과정,양미경,2,"화,목 10:30~11:20 [J128]",2-4학년,,24,
EDU3002-01,교육행정및교육경영,김재웅,2,"월,수 12:00~12:50 [J128]",2-4학년,,22,
EDU3033-01,교육사회,정유성,2,"화,목 13:30~14:20 [J327]",2-4학년,,45,
EDU3035-01,교육봉사활동,양미경,2,,3-4학년,,0,"교직이수학생만 신청가능, 강의 없음, 중고교 등에서 60시간봉사, 성적평가:S/U"
EDU3037-01,생활지도및상담,윤아랑,2,수 15:00~16:50 [J128],2-4학년,,40,
EDU3039-01,교육연구법,이예경,2,"수,금 15:00~15:50 [J126]",2-4학년,,13,
EDU3046-01,교직실무,김재웅,2,화 16:30~18:20 [J128],3-4학년,,47,
JPN2001-01,중급일본어I,변정현,3,"화,목 10:30~11:45 [J110]",1-4학년,,13,
JPN2003-01,미디어일본어,김인혜,3,"화,목 15:00~16:15 [J317]",1-4학년,,18,
JPN2004-01,일본어회화,김계자,3,"화,목 12:00~13:15 [J202]",1-4학년,,17,
JPN2008-01,일본문학의이해,김계자,3,"화,목 13:30~14:45 [J315]",1-4학년,,22,
JPN2009-01,일본문화의이해,정녕,3,"화,목 16:30~17:45 [J217]",1-4학년,,17,
JPN2013-01,일본문화특강I,유양근,3,월 13:30~16:15 [J309],1-4학년,,33,애니메이션과 현대사회
JPN3001-01,일본사회의이해,김경녀,3,"월,수 10:30~11:45 [J602]",1-4학년,,17,
GES2002-01,여성학개론,김애라,3,"월,수 16:30~17:45 [D401A]",1-4학년,,20,
GES3007-01,여성과정치,이진옥,3,"수,금 13:30~14:45 [D406]",1-4학년,,15,
GES3012-01,여성과대중문화,이채원,3,월 13:30~16:15 [D302],1-4학년,,63,
GES3019-01,성과사랑,정유성,3,"화,목 15:00~16:15 [X353]",1-4학년,,24,
GES3021-01,상담과젠더,김영희,3,"월,수 10:30~11:45 [D303A]",1-4학년,,22,
GESG003-01,여성운동사,신상숙,3,금 10:30~13:15 [J219],3-4학년,,22,학석사 공용
PEP2000-01,"현대문명의정치,경제,철학적이해",김종철,3,"월,수 12:00~13:15 [D401A]",1-4학년,,8,"정치, 경제, 철학 연계전공 필수"
BNT3001-01,바이오융합기술프로젝트I,유양모,3,금 10:30~13:15 [AS311],3-4학년,,16,
BNTG031-01,지식재산권과특허,김현진,3,화 16:30~19:15 [K501],3-4학년,,14,"대학원초급과목,구BNT5031"
BNTG032-01,의공학개론II,"유양모, 윤광석, 박정열, 신충수",3,목 15:00~17:45 [K506],3-4학년,,5,"팀티칭, 대학원초급과목"
SPM3001-01,운동처방,김태형,2,금 10:30~12:20 [K507],1-4학년,,36,
SPM3004-01,스포츠프로모션,정지규,2,수 15:00~16:50 [K507],1-4학년,,27,구 스포츠이벤트기획
SPM3005-01,레크리에이션의이론과실제,이문진,2,금 10:30~12:20 [K404],1-4학년,,37,"강의실 및 체육관, 장소:체육관(705-8207)"
SPM3006-01,스포츠경영특강,김구선,2,수 09:00~10:50 [K507],1-4학년,,11,
SPM3007-01,스포츠사회학,함은주,2,월 15:00~16:50 [K507],1-4학년,,18,
SPM3009-01,스포츠마케팅,성호준,2,수 12:00~13:50 [K507],1-4학년,,25,
SPM3015-01,서사적체육:스포츠와스토리텔링,정용철,2,목 12:00~13:50 [K507],1-4학년,,22,
SPM3101-01,스쿠바다이빙,윤용진,2,목 10:30~13:15,1-4학년,,25,"영어강의, 체육관 수조 및 외부실습, 장소:체육관(705-8207)"
SPM3101-02,스쿠바다이빙,민우식,2,화 13:30~16:15 [K507],1-4학년,,19,"체육관 수조 및 외부실습, 장소:체육관(705-8207)"
SPM3103-01,패러글라이딩,박지선,2,월 12:00~14:45,3-4학년,,18,"운동장, 장소:운동장,문의:체육관(705-8207)"
SPM3106-01,체력트레이닝,최대혁,2,"화,목 15:00~16:15",1-4학년,,41,"체육관 헬스장, 장소:체육관(705-8207)"
