소속,과목코드,과목명,교수명,학점,수업요일,수업시간,강의실_x,권장학년,교수특징,경쟁점수,꿀점수,배움점수
경제학전공,ECO2009-01,계량경제학I,최인,3,[월수],16:30~17:45,GN301,"['2', '3']",[],,9.982933333333332,10.661333333333333
경제학전공,ECO2009-02,계량경제학I,이한식,3,[화목],10:30~11:45,GN201,"['2', '3']",[],1.6900000000000002,10.800000000000002,13.400000000000002
경제학전공,ECO2009-03,계량경제학I,이영훈,3,[화목],15:00~16:15,GN202,"['2', '3']",[],,14.721552631578946,7.394605263157897
경제학전공,ECOG030-01,고급계량경제학I,이한식,3,[화목],13:30~14:45,GN304,['4'],[],,,
경제학전공,ECO3001-01,산업경제학,전현배,3,[화목],09:00~10:15,GN102,"['3', '4']",['귀요미'],,10.066466666666667,9.095666666666668
경제학전공,ECO3002-01,노동경제학,남성일,3,[화목],12:00~13:15,GN201,"['3', '4']",[],,4.123433333333333,5.753833333333334
경제학전공,ECO3004-01,도시경제학,김경환,3,[화목],13:30~14:45,GN301,"['3', '4']",[],2.4502229508196716,2.1,11.0
경제학전공,ECO3005-01,환경경제학,"Heshmati, Almas",3,[월수],10:30~11:45,GN202,"['3', '4']",['카리스마'],,0.3433333333333333,8.816666666666665
경제학전공,ECO3008-01,금융경제학,남주하,3,[수금],13:30~14:45,GN102,"['3', '4']",[],1.8288322388059703,8.711328571428572,7.905214285714287
경제학전공,ECO3009-01,공공경제학,김홍균,3,[화목],10:30~11:45,GN301,"['3', '4']",['꼰대'],1.1836163529411765,12.835355555555555,4.185666666666666
경제학전공,ECO3010-01,국제무역론,허정,3,[화목],15:00~16:15,GN102,"['3', '4']",[],1.263355182481752,11.561228571428574,13.233285714285715
경제학전공,ECO3021-01,경제성장론,송의영,3,[월수],10:30~11:45,GN301,"['3', '4']","['귀요미', '시크', '열정러']",1.4733542168674698,11.340000000000002,11.25
경제학전공,ECO4006-01,정보경제학,김도영,3,[화목],16:30~17:45,GN301,"['3', '4']",[],,10.551728571428573,12.155785714285715
경제학전공,ECO4009-01,파생상품시장,사공용,3,[화목],10:30~11:45,GN102,"['3', '4']","['귀요미', '열정러']",1.5467996330275229,14.55202222222222,7.492333333333334
경제학전공,ECO4010-01,국제금융시장,박정수,3,[화목],12:00~13:15,GN101,"['3', '4']",[],1.302813652173913,14.34325789473684,6.8773421052631605
경제학전공,ECO4014-01,한국경제론,이인실,3,[월수],10:30~11:45,GN102,"['3', '4']",[],,-0.30877142857142803,8.481857142857143
경제학전공,ECO4018-01,경제학특강1,이윤수,3,[월수],16:30~17:45,GN309,"['2', '4']",[],,,
경제학전공,ECO4019-01,경제학특강2,정재식,3,[화목],13:30~14:45,GN203,"['3', '4']",[],,,
경제학전공,ECO4020-01,경제학특강3,정재식,3,[화목],10:30~11:45,GN203,"['3', '4']",[],,0.003433333333333184,8.053833333333333
