소속,과목코드,과목명,교수명,학점,수업요일,수업시간,강의실,권장학년,교수특징,경쟁점수,꿀점수,배움점수
화학,CHM1052-04,일반화학실험2,조규봉,1,월,16:30~19:15,R112,1,없음,알수없음,0,0
화학,CHM1052-05,일반화학실험2,이현수,1,화,13:30~16:15,R114,1,없음,알수없음,0,0
화학,CHM1052-06,일반화학실험2,조규봉,1,화,13:30~16:15,R112,1,없음,알수없음,0,0
화학,CHM1052-07,일반화학실험2,이덕형,1,화,16:30~19:15,R114,1,꼰대,알수없음,0,0
화학,CHM1052-08,일반화학실험2,허남회,1,화,16:30~19:15,R112,1,없음,알수없음,0,1
화학,CHM1052-09,일반화학실험2,이현수,1,목,13:30~16:15,R114,1,없음,알수없음,0,0
화학,CHM1052-10,일반화학실험2,조규봉,1,목,13:30~16:15,R112,1,없음,알수없음,0,0
화학,CHM1052-11,일반화학실험2,문봉진,1,목,16:30~19:15,R114,1,없음,알수없음,0,0
화학,CHM1052-12,일반화학실험2,허남회,1,목,16:30~19:15,R112,1,없음,알수없음,0,1
화학,CHM1052-13,일반화학실험2,문봉진,1,금,13:30~16:15,R114,1,없음,알수없음,0,0
화학,CHM1052-14,일반화학실험2,이원구,1,금,13:30~16:15,R112,1,도도,알수없음,0,0
화학,CHM1052-15,일반화학실험2,조규봉,1,금,16:30~19:15,R114,1,없음,알수없음,0,0
화학,CHM1052-16,일반화학실험2,이덕형,1,금,16:30~19:15,R112,1,꼰대,알수없음,0,0
화학,CHM2102-01,기기분석,신운섭,3,월수,10:30~11:45,없음,3,없음,알수없음,0,0
화학,CHM2152-01,기기분석실험,신운섭,2,화,15:00~18:50,R115,34,없음,알수없음,0,0
화학,CHM2201-01,물리화학1,오한빈,3,화목,13:30~14:45,K202,2,없음,알수없음,0,0
화학,CHM2203-01,물리화학3,강영수,3,수금,09:00~10:15,없음,3,없음,알수없음,0,0
화학,CHM2252-01,물리화학실험2,강영수,2,월,15:00~18:50,R119,3,없음,알수없음,0,0
화학,CHM2302-01,유기화학2,문봉진,3,화목,10:30~11:45,K201,2,없음,알수없음,0,0
화학,CHM2302-02,유기화학2,이원구,3,화목,10:30~11:45,K301,2,도도,알수없음,0,0
화학,CHM2351-01,유기화학실험1,권용석,2,월,15:00~18:50,R113,2,없음,알수없음,0,0
화학,CHM2351-02,유기화학실험1,문봉진,2,화,15:00~18:50,R113,2,없음,알수없음,0,0
화학,CHM2351-03,유기화학실험1,이원구,2,목,15:00~18:50,R113,2,도도,알수없음,0,0
화학,CHM2351-04,유기화학실험1,권용석,2,금,15:00~18:50,R113,2,없음,알수없음,0,0
화학,CHM2451-01,무기화학실험,허남회,2,월,15:00~18:50,R117,4,없음,알수없음,0,0
화학,CHM2451-02,무기화학실험,옥강민,2,화,15:00~18:50,R117,4,없음,알수없음,0,0
